alpha,cap,global_rmse,well_rmse_mean,well_rmse_median,well_rmse_p90,well_rmse_p95,well_rmse_max,group3_rmse_mean,group3_rmse_p90,group3_rmse_p95,group3_rmse_p99,group3_rmse_max
0.1,75.0,74.47678596726426,46.88795121854044,29.5690598848815,111.37604455131132,158.39523562187557,202.96387205798214,60.10503942881394,115.60949974733116,135.00572110791148,156.11320912177135,184.3380997658138
0.1,100.0,74.47678596726426,46.88795121854044,29.5690598848815,111.37604455131132,158.39523562187557,202.96387205798214,60.10503942881394,115.60949974733116,135.00572110791148,156.11320912177135,184.3380997658138
0.1,30.0,74.68540355409294,46.9382887761899,29.5690598848815,111.37604455131132,159.1807964967582,204.82080654718342,60.19737760800866,115.8289070678928,135.64133827959412,157.493732488766,185.6149929622383
0.6,20.0,72.60177109634995,43.27980806413468,23.152218959629433,109.55737757070801,161.19284698881873,208.62952126016697,56.39435982379376,114.75358940007695,136.25072229302828,159.28208316087236,187.99467159091319
0.7,20.0,72.58621971712745,43.28576639254363,22.885086165845376,109.56861512225483,161.19289931624425,208.62646399361165,56.37475541045226,114.74681880535687,136.28195295995283,159.2718511753851,187.98697421046282
0.5,20.0,72.64493493610306,43.3498418704406,23.245024739164574,109.54820087273482,161.19651830349298,208.6370238992892,56.47026052641885,114.7403376289927,136.286352447043,159.2992091526111,188.00993849897068
0.75,20.0,72.58474372081946,43.307585538133225,22.995636433426768,109.57431103417431,161.1936542912734,208.62586787556418,56.378588766793825,114.73341546160427,136.29596813769035,159.26877865828288,187.98497845501208
0.8,20.0,72.58622671948632,43.339508280758295,23.09515086827407,109.57986545496715,161.19464368876356,208.62567500135756,56.38922996684582,114.71844631696014,136.3083373548495,159.2672401319224,187.98370549748293
1.0,20.0,72.61443316155042,43.54970302237504,23.09515086827407,109.60013120953444,161.20008481934434,208.6269010341566,56.48254838391071,114.69472763239447,136.31981276700196,159.27560908083504,187.98289399045854
0.9,20.0,72.59620626796988,43.42881555537378,23.09515086827407,109.59053261419561,161.19713282528406,208.62602233232488,56.42644378625268,114.68481505244517,136.32440187095864,159.26877084324198,187.9826342618251
0.4,20.0,72.75597558774858,43.574143612379075,23.15303585483356,109.54882577476423,161.2100658771717,208.6613792600363,56.67386947991753,114.77451918244347,136.35401623548628,159.3429697999311,188.0468206134007
0.3,20.0,73.00931291940803,44.025179986305616,24.971028927759964,109.59819856943088,161.25158451023356,208.72870011503997,57.11397702414868,114.91493175216748,136.4955277971048,159.40389620361884,188.1354113944659
0.25,20.0,73.26531099793982,44.43364102241761,25.928151861199225,109.68691259862446,161.31068131657526,208.79995497546147,57.5329925562975,115.03308628285701,136.6429120897783,159.46984794586493,188.22966123842835
0.2,20.0,73.69201321706429,45.05257949860677,26.94246320197929,109.91310906033634,161.42554487357447,208.93700493364815,58.18996682583438,115.29720887318335,136.9390436383945,159.59513615994672,188.4134837191801
0.1,20.0,75.71613610938778,47.241933744174176,29.5690598848815,112.56497462061336,162.7483175343187,210.0806860394297,60.72906699975091,117.43886770909126,138.35892096550117,161.40212803166006,189.8505075471191
0.0,none,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,20.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,30.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,40.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,50.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,75.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
0.0,100.0,82.50486875044429,51.38258210521303,31.059054818874785,126.07970644836965,177.80323954679207,225.9112514249824,66.33494515316485,128.01411354998703,150.17092568731238,173.82582326342876,204.84916597509235
